Nombre,Ultimo,Maximo,Minimo,Var,Porc_Var
3D Systems,"9,38","9,94","9,36","-0,09","-0,95%"
3M,"122,75","127,19","122,26","-3,85","-3,04%"
51Talk Online Education DRC,"5,810","6,052","5,810","-0,220","-3,65%"
A10 Network,"15,31","15,96","15,31","-0,38","-2,42%"
AAR,"48,55","50,13","48,55","-0,71","-1,44%"
Aaron’s,"13,88","14,38","13,85","+0,02","+0,14%"
ABB ADR,"33,99","34,70","33,97","-0,11","-0,32%"
Abbott Labs,"111,51","113,58","111,19","-1,88","-1,66%"
AbbVie,"149,20","152,42","149,07","-3,63","-2,38%"
Abercrombie&Fitch,"27,13","27,66","26,92","+0,02","+0,07%"
ABM Industries,"45,27","46,30","45,15","-0,42","-0,92%"
Acadia,"14,88","15,34","14,75","-0,34","-2,23%"
Accel Entertainment,"8,74","8,94","8,70","-0,04","-0,46%"
Accenture,"277,90","287,28","276,98","-6,98","-2,45%"
Acco Brands,"5,990","6,160","5,975","-0,130","-2,12%"
Acres Commercial Realty,"9,96","9,97","9,93","-0,04","-0,40%"
Acuity Brands,"173,00","175,99","171,06","-0,48","-0,28%"
Acushnet Holdings,"45,77","48,23","45,40","-2,51","-5,20%"
Adc Thera,"4,85","5,13","4,74","-0,15","-3,00%"
Adecoagro SA,"8,38","8,59","8,33","-0,07","-0,83%"
Adient,"42,20","42,88","41,61","+0,25","+0,60%"
ADS,"89,63","92,49","89,59","-0,72","-0,80%"
ADT,"9,32","9,65","9,27","-0,21","-2,20%"
Adtalem Education,"36,43","37,25","36,23","-0,49","-1,33%"
Advance Auto Parts,"146,98","150,97","146,85","-2,23","-1,49%"
AdvanSix,"41,80","43,58","41,80","-0,80","-1,88%"
Aecom Technology,"85,75","87,02","85,24","-0,83","-0,96%"
Aegon ADR,"5,340","5,460","5,340","-0,060","-1,11%"
Aenza,"2,9700","3,2100","2,8900","0,0000","0,00%"
AerCap Holdings NV,"63,63","65,00","63,19","-0,38","-0,59%"
Aerojet Rocketdyne,"56,11","56,15","55,95","+0,06","+0,11%"
Aeva Technologies,"1,69","1,79","1,64","-0,02","-1,17%"
Affiliated Managers,"165,39","169,27","164,92","-1,83","-1,09%"
Aflac,"71,88","72,94","71,78","-0,56","-0,77%"
AG Mortgage Investment,"6,420","6,510","6,330","+0,050","+0,78%"
AGCO,"139,10","143,37","138,41","-1,92","-1,36%"
Agilent Technologies,"154,07","158,16","153,64","-1,33","-0,86%"
Agiliti,"16,45","17,44","16,09","-0,67","-3,91%"
agilon health,"19,77","20,12","19,64","+0,01","+0,05%"
Agnico Eagle Mines,"54,37","55,45","54,21","-0,21","-0,38%"
Agree Realty,"73,74","75,09","73,08","-1,12","-1,50%"
AIG,"62,21","64,03","62,13","-1,57","-2,46%"
Air Lease,"43,05","43,82","42,74","-0,24","-0,55%"
Air Products,"302,89","308,25","302,05","-3,49","-1,14%"
AKA Brands Holding,"1,50","1,50","1,48","0,00","0,00%"
Alamo,"150,95","155,81","150,82","-2,98","-1,94%"
Alamos Gold,"10,750","11,050","10,750","-0,010","-0,09%"
Alaska Air,"49,31","51,46","49,29","-0,99","-1,97%"
Albany,"105,56","108,70","105,56","-2,07","-1,92%"
Albemarle,"243,80","251,88","243,55","+0,73","+0,30%"
Albertsons,"20,95","21,28","20,84","-0,26","-1,23%"
Alcoa,"53,45","57,61","53,13","-1,41","-2,57%"
Alcon,"74,24","76,07","74,18","-0,04","-0,05%"
Alexander&Baldwin,"19,47","19,97","19,38","-0,41","-2,06%"
Alexanders,"231,99","232,74","230,50","+2,74","+1,20%"
Alexandria RE,"155,19","157,35","154,57","-0,97","-0,62%"
Algonquin Power,"6,94","7,21","6,89","-0,22","-3,07%"
Alibaba ADR,"113,22","116,75","113,04","-1,97","-1,71%"
Alight,"8,84","9,18","8,81","-0,17","-1,89%"
Allegion PLC,"110,96","114,05","110,51","-1,83","-1,62%"
Allego US,"4,01","4,04","3,80","+0,12","+3,08%"
Allete,"63,63","65,47","63,38","-1,67","-2,56%"
Allison Transmission,"42,68","43,60","42,67","-0,35","-0,81%"
Allstate,"132,43","135,63","131,92","-3,09","-2,28%"
Ally Financial Inc,"27,01","27,41","26,79","-0,03","-0,11%"
Alpha Metallurgical Resources,"163,12","171,90","162,42","-2,19","-1,32%"
Alpine Income,"19,53","19,86","19,52","-0,22","-1,11%"
Alteryx,"51,16","52,97","50,87","-0,33","-0,64%"
Altice USA,"4,66","4,86","4,61","-0,04","-0,85%"
Altria,"44,01","45,20","43,39","-1,15","-2,55%"
Altus Power,"8,14","8,57","8,07","-0,09","-1,09%"
Ambac,"16,77","17,17","16,74","-0,13","-0,77%"
Ambev SA,"2,650","2,760","2,640","-0,070","-2,57%"
Ambrx Biopharma,"1,97","2,18","1,97","-0,21","-9,63%"
AMC Entertainment,"1,61","1,85","1,56","-0,09","-5,29%"
AMC Entertainment,"5,65","6,55","5,46","-0,42","-6,92%"
Ameren,"86,68","89,52","86,59","-2,56","-2,87%"
Ameresco,"61,20","62,96","60,07","+0,30","+0,49%"
America Movil ADR,"20,69","21,04","20,69","-0,02","-0,10%"
America Movil ADR A,"20,56","20,86","20,56","-0,11","-0,52%"
American Assets,"27,50","28,13","27,24","-0,38","-1,36%"
American Axle&Manufacturing,"8,53","8,91","8,52","-0,19","-2,18%"
American Eagle Outfitters,"15,12","15,82","15,09","-0,34","-2,20%"
American Equity Inv. Life,"45,02","46,01","44,90","-1,11","-2,41%"
American Express,"150,42","154,76","150,32","-3,33","-2,17%"
American Financial,"139,35","141,55","139,26","-1,44","-1,02%"
American Realty Investors,"19,49","19,70","19,23","-0,14","-0,71%"
American States Water,"94,24","96,27","93,41","-1,79","-1,86%"
American Tower,"225,19","232,51","224,24","-5,86","-2,54%"
American Vanguard,"22,66","23,29","22,63","-0,48","-2,07%"
American Water Works,"152,69","158,46","152,06","-4,55","-2,89%"
American Well,"3,79","3,96","3,75","-0,12","-3,07%"
Americold Realty,"30,49","31,15","30,39","-0,27","-0,88%"
Ameriprise Financial,"328,20","337,57","327,74","-8,08","-2,40%"
AmerisourceBergen,"162,95","164,52","162,92","-1,21","-0,74%"
Ametek,"141,42","144,92","140,82","-3,21","-2,22%"
AMH 4 Rent,"32,19","32,87","32,18","-0,44","-1,35%"
AMN Healthcare Services,"94,93","106,49","94,80","-10,10","-9,62%"
Amneal Pharma A,"2,170","2,225","2,160","-0,040","-1,81%"
Ampco-Pittsburgh,"3,230","3,353","3,125","+0,040","+1,25%"
Amphenol,"78,91","81,40","78,74","-1,78","-2,21%"
Amplify Energy,"8,670","9,219","8,652","-0,300","-3,34%"
Amprius Tech,"6,12","6,50","6,06","-0,14","-2,24%"
AMREP,"12,71","12,84","12,41","+0,16","+1,27%"
AMTD Digital,"11,80","14,25","10,45","+1,08","+10,07%"
AMTD IDEA,"1,730","1,874","1,670","+0,060","+3,59%"
Angel Oak Mortgage,"7,76","7,85","7,52","+0,13","+1,70%"
AngloGold Ashanti ADR,"22,04","22,70","22,03","-0,05","-0,23%"
Anheuser Busch ADR,"59,29","61,38","59,28","-1,78","-2,91%"
Annaly Capital Management,"22,570","22,820","22,475","+0,070","+0,31%"
Annovis Bio,"13,17","13,73","13,02","-0,19","-1,42%"
Antero Midstream,"11,070","11,445","11,070","-0,290","-2,55%"
Antero Resources Corp,"28,74","30,35","28,73","-1,37","-4,55%"
Anywhere RE,"8,00","8,43","7,93","-0,07","-0,87%"
AO Smith,"60,14","61,02","59,72","+0,11","+0,18%"
Aon,"314,09","318,58","313,38","-2,85","-0,90%"
Apartment,"36,07","36,92","36,02","-0,49","-1,34%"
Apartment Invest,"7,450","7,630","7,400","-0,060","-0,80%"
Api Group Corp,"19,85","20,65","19,82","-0,75","-3,64%"
Apollo Commercial RE Finance,"11,53","11,79","11,49","-0,14","-1,20%"
Apollo Global Management A,"68,03","69,57","67,95","-1,06","-1,53%"
Apple Hospitality REIT,"16,47","16,78","16,37","-0,30","-1,79%"
Applied Industrial Technologies,"123,31","127,49","123,30","-1,35","-1,08%"
AptarGroup,"111,97","114,60","111,92","-2,09","-1,83%"
Aptiv,"102,64","105,72","102,56","+0,09","+0,09%"
Aramark Holdings,"44,33","45,63","44,28","-1,05","-2,31%"
Arbor,"14,17","14,39","14,12","-0,07","-0,49%"
ARC Document Solutions,"3,480","3,586","3,470","-0,060","-1,69%"
ArcelorMittal ADR,"30,70","31,55","30,68","-0,48","-1,54%"
Arch Resources,"138,77","145,73","138,04","-1,23","-0,88%"
Archer Aviation,"2,92","3,21","2,84","+0,34","+13,18%"
Archer-Daniels-Midland,"85,00","88,31","84,89","-3,09","-3,51%"
Archrock,"9,300","9,655","9,275","-0,230","-2,41%"
Arconic,"23,33","24,44","23,09","-0,33","-1,39%"
Arcos Dorados,"8,560","8,690","8,460","-0,010","-0,12%"
Arcosa,"56,32","58,22","56,02","-1,35","-2,34%"
Arcus Biosciences,"19,46","21,05","19,22","-0,85","-4,19%"
Ardagh Metal Packaging,"5,37","5,45","5,26","+0,12","+2,29%"
Ardmore Shpng,"13,620","14,390","13,620","-0,600","-4,22%"
Ares Commercial RE,"11,59","11,92","11,56","-0,11","-0,94%"
Ares Management,"77,97","79,28","77,78","-0,10","-0,13%"
Argan,"37,57","39,04","37,52","-1,23","-3,17%"
Argo Group Int,"27,12","27,76","26,90","-0,23","-0,84%"
Aris Water Solutions,"15,30","16,13","15,30","-0,40","-2,55%"
Arista Networks,"115,00","118,37","114,79","-1,30","-1,12%"
Arlington Asset Investment,"3,010","3,050","3,000","-0,020","-0,66%"
Arlo Technologies,"4,050","4,171","4,040","+0,030","+0,75%"
Armada Hflr Pr,"12,08","12,42","12,06","-0,24","-1,95%"
ARMOUR Residential,"6,06","6,16","5,99","-0,03","-0,49%"
Armstrong World Industries,"74,04","75,61","74,04","-0,64","-0,86%"
Arrow Electronics,"113,80","116,22","113,22","-0,15","-0,13%"
Arthur J Gallagher,"191,99","196,04","191,55","-3,66","-1,87%"
Artisan Partners AM,"34,91","35,42","34,58","+0,11","+0,32%"
Artivion,"12,60","13,23","12,53","-0,20","-1,56%"
Asana,"14,05","15,06","13,99","-0,32","-2,23%"
Asbury Automotive,"184,34","191,46","184,17","-1,85","-0,99%"
ASE Industrial ADR,"7,110","7,200","7,100","0,000","0,00%"
ASGN,"85,71","88,23","85,47","-0,46","-0,53%"
Ashford Hospitality,"5,700","5,980","5,623","-0,130","-2,23%"
Ashland Global,"110,28","112,60","110,00","-1,57","-1,40%"
Aspen Aerogels Inc,"10,66","11,85","10,65","-0,73","-6,41%"
AssetMark,"24,58","25,02","24,50","-0,29","-1,17%"
Associated Banc-Corp,"21,96","22,78","21,94","-0,97","-4,23%"
Associated Capital Group Inc,"36,71","37,96","36,71","-0,29","-0,78%"
Assurant,"127,19","128,46","126,14","-0,81","-0,63%"
Assured Guaranty,"60,31","61,29","60,25","-0,29","-0,48%"
AT&T,"19,02","19,33","18,97","-0,31","-1,60%"
Atento SA,"5,90","6,41","5,70","+0,12","+2,08%"
ATI Inc,"34,90","35,63","34,48","+0,11","+0,32%"
ATI Physical Therapy,"0,457","0,476","0,414","-0,007","-1,55%"
Atkore Intl,"121,40","125,33","121,33","-1,45","-1,18%"
Atlas Corp,"15,27","15,34","15,26","-0,03","-0,20%"
Atmos Energy,"111,62","114,14","111,19","-2,33","-2,04%"
ATRenew DRC,"2,90","3,07","2,88","0,00","0,00%"
Audacy,"0,273","0,298","0,266","-0,018","-6,03%"
Autohome ADR,"35,70","36,50","35,22","+0,12","+0,34%"
Autoliv,"81,13","83,42","81,06","-0,01","-0,01%"
AutoNation,"110,26","113,81","109,59","+0,38","+0,35%"
AutoZone,"2.344,93","2.360,99","2.340,01","-10,95","-0,46%"
AvalonBay,"168,65","170,92","167,24","-1,36","-0,80%"
Avangrid Inc,"42,34","43,60","42,33","-0,93","-2,15%"
Avanos Medical,"28,57","29,36","28,47","-0,27","-0,94%"
Avantor,"22,23","22,75","22,19","-0,03","-0,13%"
Avaya,"0,28","0,32","0,27","-0,04","-13,34%"
Avery Dennison,"189,28","195,04","189,07","-4,23","-2,19%"
Avient Corp,"37,86","38,74","37,68","-0,31","-0,81%"
Avista,"41,49","42,51","41,25","-0,91","-2,15%"
Axa Equitable,"30,32","31,00","30,31","-0,44","-1,43%"
Axalta Coating Systems,"27,06","27,59","27,01","+0,05","+0,19%"
Axis Capital,"56,55","56,98","56,30","+0,20","+0,35%"
Axos Financial,"40,06","41,39","39,87","-0,81","-1,98%"
Azek Company,"23,09","23,47","22,96","+0,32","+1,41%"
Azul,"6,69","7,16","6,66","+0,10","+1,52%"
Azure Power Global,"4,27","4,64","4,22","-0,08","-1,84%"
AZZ,"40,83","42,59","40,81","-1,58","-3,73%"
